node,layer,original_score,new_score,diff(new-origin)
anon_S4811E,0,535.0,535.0,0.0
anon_S2092E,3,430.0,1061.65,631.65
anon_S2025E,2,691.0,649.0,-42.0
anon_S1817E,3,637.0,677.0,40.0
anon_S4723E,0,540.0,540.0,0.0
anon_S1484E,1,678.0,626.0,-52.0
anon_S2775E,2,680.0,1055.82,375.82
anon_S1662E,3,599.0,1021.67,422.67
anon_S5410E,1,-1,710.0,na
anon_S2880E,4,469.0,994.61,525.61
anon_S1787E,3,708.0,677.0,-31.0
anon_S3776E,1,-1,593.0,na
anon_S1253E,0,-1,-1,na
anon_S2207E,1,692.0,761.0,69.0
anon_S5898E,2,560.0,851.54,291.54
anon_S4430E,2,314.0,671.0,357.0
anon_S1882E,1,-1,575.0,na
anon_S1879E,1,551.0,588.0,37.0
anon_S4379E,0,515.0,515.0,0.0
anon_S1124E,0,-1,-1,na
anon_S4578E,0,624.0,624.0,0.0
anon_S5160E,0,531.0,531.0,0.0
anon_S369E,0,510.0,510.0,0.0
anon_S5135E,0,525.0,525.0,0.0
anon_S87E,2,449.0,649.0,200.0
anon_S183E,6,492.0,1819.23,1327.23
anon_S5958E,3,444.0,1203.62,759.62
anon_S3372E,5,-1,1298.3,na
anon_S4601E,0,-1,-1,na
anon_S4654E,7,472.0,620.0,148.0
anon_S1571E,5,614.0,620.0,6.0
anon_S2175E,2,562.0,987.34,425.34
anon_S1133E,0,713.0,713.0,0.0
anon_S1757E,2,611.0,1047.85,436.85
anon_S3323E,1,525.0,593.0,68.0
anon_S1366E,0,366.0,366.0,0.0
anon_S4749E,2,658.0,581.0,-77.0
anon_S202E,0,352.0,352.0,0.0
anon_S2640E,1,489.0,632.0,143.0
anon_S399E,0,-1,-1,na
anon_S5493E,0,514.0,514.0,0.0
anon_S3417E,2,594.0,649.0,55.0
anon_S5225E,0,579.0,579.0,0.0
anon_S5442E,2,478.0,623.0,145.0
anon_S3740E,1,-1,601.0,na
anon_S3715E,1,-1,860.96,na
anon_S5439E,2,534.0,936.66,402.66
anon_S2157E,7,466.0,965.14,499.14
anon_S212E,0,-1,-1,na
anon_S5585E,3,615.0,955.42,340.42
anon_S1579E,5,685.0,620.0,-65.0
anon_S1619E,1,732.0,696.0,-36.0
anon_S4812E,8,667.0,1238.67,571.67
anon_S3045E,5,-1,1298.3,na
anon_S625E,0,749.0,749.0,0.0
anon_S3881E,3,340.0,566.0,226.0
anon_S505E,1,677.0,970.61,293.61
anon_S122E,0,-1,-1,na
anon_S831E,0,559.0,559.0,0.0
anon_S5821E,2,775.0,1045.73,270.73
anon_S4830E,0,562.0,562.0,0.0
anon_S6019E,0,518.0,518.0,0.0
anon_S67E,2,630.0,630.0,0.0
anon_S2518E,2,614.0,808.34,194.34
anon_S5098E,0,528.0,528.0,0.0
anon_S2527E,1,468.0,711.0,243.0
anon_S2507E,0,568.0,568.0,0.0
anon_S1300E,0,563.0,563.0,0.0
anon_S569E,0,496.0,496.0,0.0
anon_S3471E,1,606.0,739.0,133.0
anon_S4589E,0,528.0,528.0,0.0
anon_S1604E,5,500.0,620.0,120.0
anon_S5313E,0,657.0,657.0,0.0
anon_S1047E,0,681.0,681.0,0.0
anon_S531E,0,761.0,761.0,0.0
anon_S2463E,1,511.0,695.0,184.0
anon_S3687E,2,526.0,996.05,470.05
anon_S4741E,2,379.0,623.0,244.0
anon_S808E,0,667.0,667.0,0.0
anon_S5398E,0,265.0,265.0,0.0
anon_S3149E,2,-1,721.0,na
anon_S6025E,0,-1,-1,na
anon_S1152E,0,739.0,739.0,0.0
anon_S4485E,2,476.0,878.4,402.4
anon_S2000E,2,465.0,770.71,305.71
anon_S2458E,3,360.0,997.91,637.91
anon_S6070E,5,-1,1216.34,na
anon_S1029E,0,-1,-1,na
anon_S1092E,0,444.0,444.0,0.0
anon_S159E,5,744.0,1157.71,413.71
anon_S3685E,4,-1,704.19,na
anon_S2825E,3,637.0,1105.78,468.78
anon_S2405E,1,375.0,636.0,261.0
anon_S2598E,2,621.0,808.34,187.34
anon_S5018E,0,-1,-1,na
anon_S995E,0,655.0,655.0,0.0
anon_S940E,0,614.0,614.0,0.0
anon_S3544E,0,587.0,587.0,0.0
anon_S4414E,1,558.0,711.0,153.0
anon_S2758E,1,562.0,647.0,85.0
anon_S5129E,0,-1,-1,na
anon_S2306E,5,626.0,620.0,-6.0
